cidade,uf,populacao
SãoPaulo,SãoPaulo,12396372
RiodeJaneiro,RiodeJaneiro,6775561
Brasília,DistritoFederal,3094325
Salvador,Bahia,2900319
Fortaleza,Ceará,2703391
BeloHorizonte,MinasGerais,2530701
Manaus,Amazonas,2255903
Curitiba,Paraná,1963726
Recife,Pernambuco,1661017
Goiânia,Goiás,1555626
Belém,Pará,1506420
PortoAlegre,RioGrandedoSul,1492530
Guarulhos,SãoPaulo,1404694
Campinas,SãoPaulo,1223237
SãoLuís,Maranhão,1115932
SãoGonçalo,RiodeJaneiro,1098357
Maceió,Alagoas,1031597
DuquedeCaxias,RiodeJaneiro,929449
CampoGrande,MatoGrossodoSul,916001
Natal,RioGrandedoNorte,896708
Teresina,Piauí,871126
SãoBernardodoCampo,SãoPaulo,849874
JoãoPessoa,Paraíba,825796
NovaIguaçu,RiodeJaneiro,825388
SãoJosédosCampos,SãoPaulo,737310
SantoAndré,SãoPaulo,723889
RibeirãoPreto,SãoPaulo,720116
JaboatãodosGuararapes,Pernambuco,711330
Uberlândia,MinasGerais,706597
Osasco,SãoPaulo,701428
Sorocaba,SãoPaulo,695328
Contagem,MinasGerais,673849
Aracaju,Sergipe,672614
FeiradeSantana,Bahia,624107
Cuiabá,MatoGrosso,623614
Joinville,SantaCatarina,604708
AparecidadeGoiânia,Goiás,601844
Londrina,Paraná,580870
JuizdeFora,MinasGerais,577532
PortoVelho,Rondônia,548952
Ananindeua,Pará,540410
Serra,EspíritoSanto,536765
CaxiasdoSul,RioGrandedoSul,523716
Macapá,Amapá,522357
Niterói,RiodeJaneiro,516981
Florianópolis,SantaCatarina,516524
BelfordRoxo,RiodeJaneiro,515239
CamposdosGoytacazes,RiodeJaneiro,514643
VilaVelha,EspíritoSanto,508655
Mauá,SãoPaulo,481725
SãoJoãodeMeriti,RiodeJaneiro,473385
SãoJosédoRioPreto,SãoPaulo,469173
MogidasCruzes,SãoPaulo,455587
Betim,MinasGerais,450024
BoaVista,Roraima,436591
Maringá,Paraná,436472
Santos,SãoPaulo,433991
Diadema,SãoPaulo,429550
Jundiaí,SãoPaulo,426935
RioBranco,Acre,419452
MontesClaros,MinasGerais,417478
CampinaGrande,Paraíba,413830
Piracicaba,SãoPaulo,410275
Carapicuíba,SãoPaulo,405375
Anápolis,Goiás,396526
Olinda,Pernambuco,393734
Cariacica,EspíritoSanto,386495
Bauru,SãoPaulo,381706
Itaquaquecetuba,SãoPaulo,379082
SãoVicente,SãoPaulo,370839
Vitória,EspíritoSanto,369534
Caruaru,Pernambuco,369343
Caucaia,Ceará,368918
Blumenau,SantaCatarina,366418
Petrolina,Pernambuco,359372
PontaGrossa,Paraná,358838
Franca,SãoPaulo,358539
Canoas,RioGrandedoSul,349728
Pelotas,RioGrandedoSul,343826
VitóriadaConquista,Bahia,343643
RibeirãodasNeves,MinasGerais,341415
Uberaba,MinasGerais,340277
Paulista,Pernambuco,336919
PraiaGrande,SãoPaulo,336454
Cascavel,Paraná,336073
SãoJosédosPinhais,Paraná,334620
Guarujá,SãoPaulo,324977
Taubaté,SãoPaulo,320820
Palmas,Tocantins,313349
Limeira,SãoPaulo,310783
Camaçari,Bahia,309208
Santarém,Pará,308339
Petrópolis,RiodeJaneiro,307144
Mossoró,RioGrandedoNorte,303792
Suzano,SãoPaulo,303397
TaboãodaSerra,SãoPaulo,297528
VárzeaGrande,MatoGrosso,290383
Sumaré,SãoPaulo,289875
Marabá,Pará,287664
Gravataí,RioGrandedoSul,285564
SantaMaria,RioGrandedoSul,285159
GovernadorValadares,MinasGerais,282164
Barueri,SãoPaulo,279704
EmbudasArtes,SãoPaulo,279264
JuazeirodoNorte,Ceará,278264
VoltaRedonda,RiodeJaneiro,274925
Parnamirim,RioGrandedoNorte,272490
Ipatinga,MinasGerais,267333
Macaé,RiodeJaneiro,266136
Indaiatuba,SãoPaulo,260690
Imperatriz,Maranhão,259980
FozdoIguaçu,Paraná,257971
Cotia,SãoPaulo,257882
Viamão,RioGrandedoSul,257330
SãoCarlos,SãoPaulo,256915
SãoJosé,SantaCatarina,253705
Colombo,Paraná,249277
Magé,RiodeJaneiro,247741
NovoHamburgo,RioGrandedoSul,247303
RioVerde,Goiás,247259
Itaboraí,RiodeJaneiro,244416
Americana,SãoPaulo,244370
Itapevi,SãoPaulo,244131
SeteLagoas,MinasGerais,243950
Divinópolis,MinasGerais,242505
Marília,SãoPaulo,242249
Araraquara,SãoPaulo,240542
SãoLeopoldo,RioGrandedoSul,240378
Rondonópolis,MatoGrosso,239613
Hortolândia,SãoPaulo,237570
Jacareí,SãoPaulo,237119
Arapiraca,Alagoas,234309
CaboFrio,RiodeJaneiro,234077
PresidentePrudente,SãoPaulo,231953
Maracanaú,Ceará,230986
Dourados,MatoGrossodoSul,227990
Chapecó,SantaCatarina,227587
Itajaí,SantaCatarina,226617
ÁguasLindasdeGoiás,Goiás,222850
SantaLuzia,MinasGerais,221705
Juazeiro,Bahia,219544
Criciúma,SantaCatarina,219393
Parauapebas,Pará,218787
Luziânia,Goiás,214645
Itabuna,Bahia,214123
RioGrande,RioGrandedoSul,212881
Sobral,Ceará,212437
Alvorada,RioGrandedoSul,212352
CachoeirodeItapemirim,EspíritoSanto,212172
CabodeSantoAgostinho,Pernambuco,210796
AngradosReis,RiodeJaneiro,210171
RioClaro,SãoPaulo,209548
PassoFundo,RioGrandedoSul,206103
Castanhal,Pará,205667
LaurodeFreitas,Bahia,204669
Araçatuba,SãoPaulo,199210
FerrazdeVasconcelos,SãoPaulo,198661
SantaBárbarad'Oeste,SãoPaulo,195278
NovaFriburgo,RiodeJaneiro,191664
NossaSenhoradoSocorro,Sergipe,187733
Araguaína,Tocantins,186245
Teresópolis,RiodeJaneiro,185820
BarraMansa,RiodeJaneiro,185237
JaraguádoSul,SantaCatarina,184579
Ibirité,MinasGerais,184030
Guarapuava,Paraná,183755
SãoJosédeRibamar,Maranhão,180345
Linhares,EspíritoSanto,179755
ItapecericadaSerra,SãoPaulo,179574
FranciscoMorato,SãoPaulo,179372
Palhoça,SantaCatarina,178679
Itu,SãoPaulo,177150
Mesquita,RiodeJaneiro,177016
ValparaísodeGoiás,Goiás,175720
BragançaPaulista,SãoPaulo,172346
Pindamonhangaba,SãoPaulo,171885
Timon,Maranhão,171317
PoçosdeCaldas,MinasGerais,169838
Maricá,RiodeJaneiro,167668
Itapetininga,SãoPaulo,167106
Caxias,Maranhão,166159
TeixeiradeFreitas,Bahia,164290
Nilópolis,RiodeJaneiro,162893
SãoCaetanodoSul,SãoPaulo,162763
Abaetetuba,Pará,160439
Camaragibe,Pernambuco,159945
RiodasOstras,RiodeJaneiro,159529
FrancodaRocha,SãoPaulo,158438
Barreiras,Bahia,158432
Ilhéus,Bahia,157639
Paranaguá,Paraná,157378
Lages,SantaCatarina,157158
Jequié,Bahia,156277
PatosdeMinas,MinasGerais,154641
PousoAlegre,MinasGerais,154293
MogiGuaçu,SãoPaulo,154146
Parnaíba,Piauí,153863
Jaú,SãoPaulo,153463
Alagoinhas,Bahia,153023
PortoSeguro,Bahia,152529
Queimados,RiodeJaneiro,152311
Botucatu,SãoPaulo,149718
BalneárioCamboriú,SantaCatarina,149227
Sinop,MatoGrosso,148960
Araucária,Paraná,148522
Atibaia,SãoPaulo,145378
SantanadeParnaíba,SãoPaulo,145073
Toledo,Paraná,144601
SapucaiadoSul,RioGrandedoSul,142508
Garanhuns,Pernambuco,141347
TeófiloOtoni,MinasGerais,141269
Cametá,Pará,140814
Brusque,SantaCatarina,140597
VitóriadeSantoAntão,Pernambuco,140389
Barbacena,MinasGerais,139061
SantaRita,Paraíba,138093
Sabará,MinasGerais,137877
Varginha,MinasGerais,137608
Apucarana,Paraná,137438
SimõesFilho,Bahia,137117
Araras,SãoPaulo,136739
Itaguaí,RiodeJaneiro,136547
Araruama,RiodeJaneiro,136109
Marituba,Pará,135812
SãoFélixdoXingu,Pará,135732
CampoLargo,Paraná,135678
Pinhais,Paraná,134788
SãoMateus,EspíritoSanto,134629
Crato,Ceará,133913
Resende,RiodeJaneiro,133244
Valinhos,SãoPaulo,133169
Cubatão,SãoPaulo,132521
SantaCruzdoSul,RioGrandedoSul,132271
Cachoeirinha,RioGrandedoSul,132144
Trindade,Goiás,132006
Vespasiano,MinasGerais,131849
Itapipoca,Ceará,131687
Maranguape,Ceará,131677
Ji-Paraná,Rondônia,131026
ConselheiroLafaiete,MinasGerais,130584
Bragança,Pará,130122
Barcarena,Pará,129333
Guarapari,EspíritoSanto,128504
Sertãozinho,SãoPaulo,128432
Jandira,SãoPaulo,127734
Uruguaiana,RioGrandedoSul,126766
Arapongas,Paraná,126545
Birigui,SãoPaulo,126094
Formosa,Goiás,125705
PaçodoLumiar,Maranhão,125265
RibeirãoPires,SãoPaulo,125238
Caraguatatuba,SãoPaulo,125194
TrêsLagoas,MatoGrossodoSul,125137
Santana,Amapá,124808
Votorantim,SãoPaulo,124468
Colatina,EspíritoSanto,124283
VárzeaPaulista,SãoPaulo,124269
Itatiba,SãoPaulo,124254
Tatuí,SãoPaulo,124134
Barretos,SãoPaulo,123546
Codó,Maranhão,123368
Guaratinguetá,SãoPaulo,123192
Catanduva,SãoPaulo,123114
BentoGonçalves,RioGrandedoSul,123090
Itabira,MinasGerais,121717
Bagé,RioGrandedoSul,121518
SenadorCanedo,Goiás,121447
AlmiranteTamandaré,Paraná,121420
Salto,SãoPaulo,120779
Igarassu,Pernambuco,119690
NovoGama,Goiás,119649
Poá,SãoPaulo,119221
PauloAfonso,Bahia,119213
Araguari,MinasGerais,118361
Ubá,MinasGerais,117995
Altamira,Pará,117320
Piraquara,Paraná,116852
Tucuruí,Pará,116605
Parintins,Amazonas,116439
Passos,MinasGerais,115970
Paragominas,Pará,115838
Eunápolis,Bahia,115360
Ourinhos,SãoPaulo,115139
SãoLourençodaMata,Pernambuco,114910
Paulínia,SãoPaulo,114508
Açailândia,Maranhão,113783
Umuarama,Paraná,113416
Catalão,Goiás,113091
Corumbá,MatoGrossodoSul,112669
SantaCruzdoCapibaribe,Pernambuco,111812
Tailândia,Pará,111554
Ariquemes,Rondônia,111148
CoronelFabriciano,MinasGerais,110709
Muriaé,MinasGerais,109997
Patos,Paraíba,108766
Araxá,MinasGerais,108403
NovaSerrana,MinasGerais,108241
Cambé,Paraná,108126
TangarádaSerra,MatoGrosso,107631
SãoPedrodaAldeia,RiodeJaneiro,107556
Erechim,RioGrandedoSul,107368
Tubarão,SantaCatarina,107143
Itumbiara,Goiás,106845
Japeri,RiodeJaneiro,106296
Lagarto,Sergipe,106015
Ituiutaba,MinasGerais,105818
Assis,SãoPaulo,105768
Lavras,MinasGerais,105756
Leme,SãoPaulo,105273
Bacabal,Maranhão,105094
Aracruz,EspíritoSanto,104942
SãoGonçalodoAmarante,RioGrandedoNorte,104919
Vilhena,Rondônia,104517
Itaperuna,RiodeJaneiro,104354
Itanhaém,SãoPaulo,104351
Breves,Pará,104280
Itacoatiara,Amazonas,104046
Caieiras,SãoPaulo,104044
FazendaRioGrande,Paraná,103750
Mairiporã,SãoPaulo,103645
Iguatu,Ceará,103633
Jataí,Goiás,103221
SantoAntôniodeJesus,Bahia,103204
Itaituba,Pará,101541
BarradoPiraí,RiodeJaneiro,101139
AbreueLima,Pernambuco,100698
Manacapuru,Amazonas,99613
Ipojuca,Pernambuco,99101
Sarandi,Paraná,98888
Guaíba,RioGrandedoSul,98331
Valença,Bahia,97873
Itajubá,MinasGerais,97782
Bayeux,Paraíba,97519
NovaLima,MinasGerais,97378
Balsas,Maranhão,96951
Itabaiana,Sergipe,96839
Votuporanga,SãoPaulo,96106
CampoMourão,Paraná,96102
Caçapava,SãoPaulo,95752
ParádeMinas,MinasGerais,95616
Cáceres,MatoGrosso,95339
PontaPorã,MatoGrossodoSul,95320
Itapeva,SãoPaulo,95241
CaldasNovas,Goiás,95183
Sorriso,MatoGrosso,94941
Paracatu,MinasGerais,94539
Itaúna,MinasGerais,94455
MogiMirim,SãoPaulo,94098
FranciscoBeltrão,Paraná,93308
Caratinga,MinasGerais,93124
SãoRoque,SãoPaulo,93076
Ubatuba,SãoPaulo,92819
LuísEduardoMagalhães,Bahia,92671
Arujá,SãoPaulo,92453
SãoJoãodaBoaVista,SãoPaulo,92315
Patrocínio,MinasGerais,92116
SãoCristóvão,Sergipe,92090
Manhuaçu,MinasGerais,92074
Saquarema,RiodeJaneiro,91938
Avaré,SãoPaulo,91792
SãoSebastião,SãoPaulo,91637
Planaltina,Goiás,91345
Timóteo,MinasGerais,91268
SãoJoãodel-Rei,MinasGerais,90897
SantaInês,Maranhão,89927
CruzeirodoSul,Acre,89760
Lorena,SãoPaulo,89532
Paranavaí,Paraná,89454
Quixadá,Ceará,88899
BarradoCorda,Maranhão,88895
Gurupi,Tocantins,88428
Candeias,Bahia,87820
SerraTalhada,Pernambuco,87467
Camboriú,SantaCatarina,87179
Coari,Amazonas,86713
Cacoal,Rondônia,86416
CampoLimpoPaulista,SãoPaulo,86407
Redenção,Pará,86326
SãoBentodoSul,SantaCatarina,86317
Lajeado,RioGrandedoSul,86005
Navegantes,SantaCatarina,85734
Pacatuba,Ceará,85647
Unaí,MinasGerais,85461
Guanambi,Bahia,85353
Gravatá,Pernambuco,85309
Araripina,Pernambuco,85301
Carpina,Pernambuco,85131
Cianorte,Paraná,84980
PatoBranco,Paraná,84779
Moju,Pará,84251
Pinheiro,Maranhão,84160
Matão,SãoPaulo,84069
Ijuí,RioGrandedoSul,84041
Seropédica,RiodeJaneiro,83841
Diasd'Ávila,Bahia,83705
Esteio,RioGrandedoSul,83352
Cruzeiro,SãoPaulo,82895
Macaíba,RioGrandedoNorte,82828
TrêsRios,RiodeJaneiro,82468
Quixeramobim,Ceará,82455
Serrinha,Bahia,81693
Aquiraz,Ceará,81581
CachoeiradoSul,RioGrandedoSul,81552
Vinhedo,SãoPaulo,81516
Curvelo,MinasGerais,81085
Alfenas,MinasGerais,80973
JoãoMonlevade,MinasGerais,80903
Jacobina,Bahia,80749
Viana,EspíritoSanto,80735
Chapadinha,Maranhão,80705
TelêmacoBorba,Paraná,80588
TrêsCorações,MinasGerais,80561
Sapiranga,RioGrandedoSul,80514
Goiana,Pernambuco,80345
Ibiúna,SãoPaulo,80062
Caçador,SantaCatarina,80017
Viçosa,MinasGerais,79910
SenhordoBonfim,Bahia,79813
Russas,Ceará,79550
Cajamar,SãoPaulo,79034
Lins,SãoPaulo,78978
Picos,Piauí,78627
NovoRepartimento,Pará,78488
Jaboticabal,SãoPaulo,78029
Bebedouro,SãoPaulo,77612
SantoÂngelo,RioGrandedoSul,77544
Canindé,Ceará,77484
Itapetinga,Bahia,77408
Pirassununga,SãoPaulo,77330
Valença,RiodeJaneiro,77202
Tianguá,Ceará,77111
BeloJardim,Pernambuco,76930
SantoAntôniodoDescoberto,Goiás,76871
SantanadoAraguaia,Pará,75995
Cataguases,MinasGerais,75942
Itapira,SãoPaulo,75683
Concórdia,SantaCatarina,75683
RioLargo,Alagoas,75662
SantanadoLivramento,RioGrandedoSul,75647
Aracati,Ceará,75392
Arcoverde,Pernambuco,75295
Crateús,Ceará,75241
Oriximiná,Pará,74921
OuroPreto,MinasGerais,74824
Cosmópolis,SãoPaulo,74662
CidadeOcidental,Goiás,74370
Ceará-Mirim,RioGrandedoNorte,74268
Pacajus,Ceará,74145
Irecê,Bahia,74050
SantaRosa,RioGrandedoSul,73882
Farroupilha,RioGrandedoSul,73758
Buriticupu,Maranhão,73595
PalmeiradosÍndios,Alagoas,73452
Amparo,SãoPaulo,73145
SantaLuzia,Maranhão,73105
CasaNova,Bahia,73092
RiodoSul,SantaCatarina,72931
